Bunge Ltd,0.05,3 653,2 377 523
Old Mutual Plc,0.05,87 306,2 374 884
Consolidated Edison Inc,0.05,5 109,2 369 605
Seagate Technology Plc,0.05,5 312,2 350 478
DNB ASA,0.05,17 527,2 348 618
Cie Generale Des Etablissements Michelin,0.05,2 762,2 344 377
Fujifilm Holdings Corp,0.05,8 200,2 341 628
Symantec Corp,0.05,12 433,2 335 195
Weyerhaeuser Co,0.05,9 815,2 330 509
Agrium Inc,0.05,2 993,2 327 529
Alcoa Inc,0.05,22 975,2 323 379
Next plc,0.05,2 724,2 318 514
Noble Energy Inc,0.05,6 054,2 313 842
Woodside Petroleum Ltd,0.05,11 030,2 297 815
Amadeus IT Holding SA,0.05,6 654,2 297 480
Dover Corp,0.05,4 016,2 291 482
Kyocera Corp,0.05,5 800,2 290 296
Carnival Corp,0.05,6 891,2 283 236
Fifth Third Bancorp,0.05,15 133,2 280 694
Biomarin Pharmaceutical Inc,0.05,2 700,2 279 752
AMETEK Inc,0.05,5 758,2 274 473
Zimmer Holdings Inc,0.05,2 744,2 271 207
Amphenol Corp,0.05,5 438,2 268 955
Wolseley Plc,0.05,5 060,2 268 826
Tyco International Plc,0.05,7 610,2 258 252
Stanley Black & Decker Inc,0.05,3 034,2 256 549
Telenor ASA,0.05,13 223,2 251 877
Pearson Plc,0.05,14 696,2 246 407
Clp Holdings Ltd,0.05,34 000,2 246 024
Investor B,0.05,7 315,2 245 722
Legrand Sa,0.05,5 120,2 245 588
NuCor Corp,0.05,6 098,2 245 189
Komatsu Ltd,0.05,14 700,2 240 985
Cenovus Energy Inc,0.05,15 801,2 234 407
Centrica Plc,0.05,75 544,2 234 273
Toshiba Corp,0.05,73 000,2 211 950
Deutsche Boerse Ag,0.05,3 479,2 202 827
Macquarie Group Ltd,0.05,4 751,2 201 730
Goldcorp Inc,0.05,15 579,2 201 076
Dai-Ichi Life Insurance Co Ltd/The,0.05,17 700,2 200 124
Daikin Industries Ltd,0.05,4 300,2 194 293
Hoya Corp,0.05,7 500,2 191 793
Sky Plc,0.05,17 549,2 188 686
Mitsubishi Heavy Industries Ltd,0.05,52 000,2 186 309
Rockwell Collins Inc,0.05,2 961,2 171 687
Brown-Forman Corp,0.05,3 171,2 156 052
Geberit AG,0.05,793,2 146 029
Fastenal Co,0.05,6 672,2 142 800
Givaudan SA,0.05,150,2 133 239
Molson Coors Brewing Co,0.05,3 848,2 131 540
Pentair PLC,0.05,4 510,2 112 174
Tyson Foods Inc,0.05,7 058,2 100 830
Edison International,0.05,4 566,2 096 768
Progressive Corp/The,0.05,10 425,2 094 345
Dollar Tree Inc,0.05,3 636,2 093 564
Invesco Ltd,0.05,6 684,2 086 213
